CMDLINE lindemann tests/test_example/459_02.lammpstrj -a
MEM 1.511719 1642587768.3674
MEM 23.285156 1642587768.4678
MEM 36.480469 1642587768.5681
MEM 42.519531 1642587768.6684
MEM 83.785156 1642587768.7687
MEM 113.933594 1642587768.8691
MEM 121.039062 1642587768.9694
MEM 123.613281 1642587769.0697
MEM 127.476562 1642587769.1701
MEM 128.042969 1642587769.2704
MEM 131.109375 1642587769.3707
MEM 134.039062 1642587769.4710
MEM 134.675781 1642587769.5713
MEM 135.304688 1642587769.6717
MEM 173.757812 1642587769.7720
MEM 215.078125 1642587769.8725
MEM 266.148438 1642587769.9728
MEM 275.640625 1642587770.0732
MEM 277.707031 1642587770.1736
MEM 279.511719 1642587770.2741
MEM 279.945312 1642587770.3744
MEM 281.191406 1642587770.4748
MEM 282.945312 1642587770.5751
MEM 285.304688 1642587770.6754
MEM 287.699219 1642587770.7757
MEM 289.507812 1642587770.8760
MEM 290.398438 1642587770.9763
MEM 290.429688 1642587771.0766
MEM 290.429688 1642587771.1770
MEM 290.683594 1642587771.2772
MEM 291.199219 1642587771.3775
MEM 291.972656 1642587771.4778
MEM 292.230469 1642587771.5781
MEM 292.230469 1642587771.6784
MEM 292.230469 1642587771.7787
MEM 292.230469 1642587771.8789
MEM 292.464844 1642587771.9793
MEM 292.957031 1642587772.0796
MEM 293.710938 1642587772.1799
MEM 294.023438 1642587772.2802
MEM 294.335938 1642587772.3806
MEM 295.707031 1642587772.4809
MEM 296.582031 1642587772.5812
MEM 296.835938 1642587772.6815
MEM 296.835938 1642587772.7818
MEM 296.835938 1642587772.8820
MEM 296.835938 1642587772.9823
MEM 296.835938 1642587773.0826
MEM 297.351562 1642587773.1829
MEM 297.457031 1642587773.2833
MEM 297.457031 1642587773.3836
MEM 297.457031 1642587773.4839
MEM 297.457031 1642587773.5843
MEM 297.710938 1642587773.6846
MEM 298.226562 1642587773.7849
MEM 298.742188 1642587773.8852
MEM 298.742188 1642587773.9855
MEM 298.742188 1642587774.0858
MEM 298.742188 1642587774.1861
MEM 299.000000 1642587774.2864
MEM 299.000000 1642587774.3868
MEM 299.000000 1642587774.4871
MEM 299.257812 1642587774.5874
MEM 299.843750 1642587774.6877
MEM 300.101562 1642587774.7880
MEM 300.359375 1642587774.8883
MEM 300.875000 1642587774.9886
MEM 300.875000 1642587775.0890
MEM 301.125000 1642587775.1893
MEM 301.125000 1642587775.2896
MEM 301.125000 1642587775.3899
MEM 301.125000 1642587775.4902
MEM 301.125000 1642587775.5905
MEM 301.378906 1642587775.6908
MEM 301.378906 1642587775.7911
MEM 301.886719 1642587775.8914
MEM 302.144531 1642587775.9918
MEM 302.652344 1642587776.0921
MEM 303.164062 1642587776.1924
MEM 305.742188 1642587776.2927
MEM 306.000000 1642587776.3930
MEM 306.000000 1642587776.4934
MEM 306.777344 1642587776.5937
MEM 447.003906 1642587776.6941
MEM 750.707031 1642587776.7945
MEM 1055.699219 1642587776.8949
MEM 1117.457031 1642587776.9953
MEM 1117.457031 1642587777.0958
MEM 1117.457031 1642587777.1963
MEM 1117.457031 1642587777.2967
MEM 1117.457031 1642587777.3971
MEM 1117.457031 1642587777.4975
MEM 1117.457031 1642587777.5979
MEM 1117.457031 1642587777.6983
MEM 1117.457031 1642587777.7987
MEM 1117.457031 1642587777.8991
MEM 1117.457031 1642587777.9995
MEM 1117.457031 1642587778.1000
MEM 1117.457031 1642587778.2004
MEM 1117.457031 1642587778.3008
MEM 1114.574219 1642587778.4011
MEM 1114.574219 1642587778.5014
MEM 1114.574219 1642587778.6019
MEM 1114.574219 1642587778.7022
MEM 1114.574219 1642587778.8025
MEM 312.421875 1642587778.9029
MEM 312.421875 1642587779.0032
MEM 302.335938 1642587779.1036
MEM 302.085938 1642587779.2040
MEM 301.335938 1642587779.3043
